Unnamed: 0,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Medication,Description
11,allergy, shivering, chills, watering_from_eyes,,"['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']",Allergy is an immune system reaction to a substance in the environment.
12,allergy, continuous_sneezing, chills, watering_from_eyes,,"['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']",Allergy is an immune system reaction to a substance in the environment.
13,allergy, continuous_sneezing, shivering, watering_from_eyes,,"['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']",Allergy is an immune system reaction to a substance in the environment.
14,allergy, continuous_sneezing, shivering, chills,,"['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']",Allergy is an immune system reaction to a substance in the environment.
15,allergy, shivering, chills, watering_from_eyes,,"['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']",Allergy is an immune system reaction to a substance in the environment.
16,allergy, continuous_sneezing, chills, watering_from_eyes,,"['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']",Allergy is an immune system reaction to a substance in the environment.
17,allergy, continuous_sneezing, shivering, watering_from_eyes,,"['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']",Allergy is an immune system reaction to a substance in the environment.
18,allergy, continuous_sneezing, shivering, chills,,"['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']",Allergy is an immune system reaction to a substance in the environment.
19,allergy, continuous_sneezing, shivering, chills, watering_from_eyes,"['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']",Allergy is an immune system reaction to a substance in the environment.
20,gerd, stomach_pain, acidity, ulcers_on_tongue, vomiting,"['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']",GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.
21,gerd, stomach_pain, ulcers_on_tongue, vomiting, cough,"['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']",GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.
22,gerd, stomach_pain, acidity, vomiting, cough,"['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']",GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.
23,gerd, stomach_pain, acidity, ulcers_on_tongue, cough,"['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']",GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.
24,gerd, stomach_pain, acidity, ulcers_on_tongue, vomiting,"['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']",GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.
25,gerd, stomach_pain, acidity, ulcers_on_tongue, vomiting,"['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']",GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.
26,gerd, acidity, ulcers_on_tongue, vomiting, cough,"['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']",GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.
27,gerd, stomach_pain, ulcers_on_tongue, vomiting, cough,"['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']",GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.
28,gerd, stomach_pain, acidity, vomiting, cough,"['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']",GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.
29,gerd, stomach_pain, acidity, ulcers_on_tongue, cough,"['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']",GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.
30,chronic cholestasis,itching, vomiting, yellowish_skin, nausea,"['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']",Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.
31,chronic cholestasis, vomiting, yellowish_skin, nausea, loss_of_appetite,"['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']",Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.
32,chronic cholestasis,itching, yellowish_skin, nausea, loss_of_appetite,"['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']",Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.
33,chronic cholestasis,itching, vomiting, nausea, loss_of_appetite,"['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']",Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.
34,chronic cholestasis,itching, vomiting, yellowish_skin, loss_of_appetite,"['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']",Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.
35,chronic cholestasis,itching, vomiting, yellowish_skin, nausea,"['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']",Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.
36,chronic cholestasis,itching, vomiting, yellowish_skin, nausea,"['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']",Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.
37,chronic cholestasis,itching, vomiting, yellowish_skin, nausea,"['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']",Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.
38,chronic cholestasis,itching, vomiting, yellowish_skin, nausea,"['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']",Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.
39,chronic cholestasis,itching, vomiting, yellowish_skin, nausea,"['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']",Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.
40,drug reaction,itching, skin_rash, stomach_pain, burning_micturition,"['Antihistamines', 'Epinephrine', 'Corticosteroids', 'Antibiotics', 'Antifungal Cream']",Drug Reaction occurs when the body reacts adversely to a medication.
41,drug reaction,itching, stomach_pain, burning_micturition, spotting_ urination,"['Antihistamines', 'Epinephrine', 'Corticosteroids', 'Antibiotics', 'Antifungal Cream']",Drug Reaction occurs when the body reacts adversely to a medication.
42,drug reaction,itching, skin_rash, burning_micturition, spotting_ urination,"['Antihistamines', 'Epinephrine', 'Corticosteroids', 'Antibiotics', 'Antifungal Cream']",Drug Reaction occurs when the body reacts adversely to a medication.
43,drug reaction,itching, skin_rash, stomach_pain, spotting_ urination,"['Antihistamines', 'Epinephrine', 'Corticosteroids', 'Antibiotics', 'Antifungal Cream']",Drug Reaction occurs when the body reacts adversely to a medication.
44,drug reaction,itching, skin_rash, stomach_pain, burning_micturition,"['Antihistamines', 'Epinephrine', 'Corticosteroids', 'Antibiotics', 'Antifungal Cream']",Drug Reaction occurs when the body reacts adversely to a medication.
45,drug reaction, skin_rash, stomach_pain, burning_micturition, spotting_ urination,"['Antihistamines', 'Epinephrine', 'Corticosteroids', 'Antibiotics', 'Antifungal Cream']",Drug Reaction occurs when the body reacts adversely to a medication.
46,drug reaction,itching, stomach_pain, burning_micturition, spotting_ urination,"['Antihistamines', 'Epinephrine', 'Corticosteroids', 'Antibiotics', 'Antifungal Cream']",Drug Reaction occurs when the body reacts adversely to a medication.
47,drug reaction,itching, skin_rash, burning_micturition, spotting_ urination,"['Antihistamines', 'Epinephrine', 'Corticosteroids', 'Antibiotics', 'Antifungal Cream']",Drug Reaction occurs when the body reacts adversely to a medication.
48,drug reaction,itching, skin_rash, stomach_pain, spotting_ urination,"['Antihistamines', 'Epinephrine', 'Corticosteroids', 'Antibiotics', 'Antifungal Cream']",Drug Reaction occurs when the body reacts adversely to a medication.
49,drug reaction,itching, skin_rash, stomach_pain, burning_micturition,"['Antihistamines', 'Epinephrine', 'Corticosteroids', 'Antibiotics', 'Antifungal Cream']",Drug Reaction occurs when the body reacts adversely to a medication.
60,aids, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,"['Antiretroviral drugs', 'Protease inhibitors', 'Integrase inhibitors', 'Entry inhibitors', 'Fusion inhibitors']",AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system.
61,aids, patches_in_throat, high_fever, extra_marital_contacts,,"['Antiretroviral drugs', 'Protease inhibitors', 'Integrase inhibitors', 'Entry inhibitors', 'Fusion inhibitors']",AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system.
62,aids, muscle_wasting, high_fever, extra_marital_contacts,,"['Antiretroviral drugs', 'Protease inhibitors', 'Integrase inhibitors', 'Entry inhibitors', 'Fusion inhibitors']",AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system.
63,aids, muscle_wasting, patches_in_throat, extra_marital_contacts,,"['Antiretroviral drugs', 'Protease inhibitors', 'Integrase inhibitors', 'Entry inhibitors', 'Fusion inhibitors']",AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system.
64,aids, muscle_wasting, patches_in_throat, high_fever,,"['Antiretroviral drugs', 'Protease inhibitors', 'Integrase inhibitors', 'Entry inhibitors', 'Fusion inhibitors']",AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system.
65,aids, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,"['Antiretroviral drugs', 'Protease inhibitors', 'Integrase inhibitors', 'Entry inhibitors', 'Fusion inhibitors']",AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system.
66,aids, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,"['Antiretroviral drugs', 'Protease inhibitors', 'Integrase inhibitors', 'Entry inhibitors', 'Fusion inhibitors']",AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system.
67,aids, patches_in_throat, high_fever, extra_marital_contacts,,"['Antiretroviral drugs', 'Protease inhibitors', 'Integrase inhibitors', 'Entry inhibitors', 'Fusion inhibitors']",AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system.
68,aids, muscle_wasting, high_fever, extra_marital_contacts,,"['Antiretroviral drugs', 'Protease inhibitors', 'Integrase inhibitors', 'Entry inhibitors', 'Fusion inhibitors']",AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system.
69,aids, muscle_wasting, patches_in_throat, high_fever,,"['Antiretroviral drugs', 'Protease inhibitors', 'Integrase inhibitors', 'Entry inhibitors', 'Fusion inhibitors']",AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system.
70,diabetes, fatigue, weight_loss, restlessness, lethargy,"['Insulin', 'Metformin', 'Sulfonylureas', 'DPP-4 inhibitors', 'GLP-1 receptor agonists']",Diabetes is a chronic condition that affects how the body processes blood sugar.
71,diabetes, fatigue, weight_loss, restlessness, lethargy,"['Insulin', 'Metformin', 'Sulfonylureas', 'DPP-4 inhibitors', 'GLP-1 receptor agonists']",Diabetes is a chronic condition that affects how the body processes blood sugar.
72,diabetes, weight_loss, restlessness, lethargy, irregular_sugar_level,"['Insulin', 'Metformin', 'Sulfonylureas', 'DPP-4 inhibitors', 'GLP-1 receptor agonists']",Diabetes is a chronic condition that affects how the body processes blood sugar.
73,diabetes, fatigue, restlessness, lethargy, irregular_sugar_level,"['Insulin', 'Metformin', 'Sulfonylureas', 'DPP-4 inhibitors', 'GLP-1 receptor agonists']",Diabetes is a chronic condition that affects how the body processes blood sugar.
74,diabetes, fatigue, weight_loss, lethargy, irregular_sugar_level,"['Insulin', 'Metformin', 'Sulfonylureas', 'DPP-4 inhibitors', 'GLP-1 receptor agonists']",Diabetes is a chronic condition that affects how the body processes blood sugar.
75,diabetes, fatigue, weight_loss, restlessness, irregular_sugar_level,"['Insulin', 'Metformin', 'Sulfonylureas', 'DPP-4 inhibitors', 'GLP-1 receptor agonists']",Diabetes is a chronic condition that affects how the body processes blood sugar.
76,diabetes, fatigue, weight_loss, restlessness, lethargy,"['Insulin', 'Metformin', 'Sulfonylureas', 'DPP-4 inhibitors', 'GLP-1 receptor agonists']",Diabetes is a chronic condition that affects how the body processes blood sugar.
77,diabetes, fatigue, weight_loss, restlessness, lethargy,"['Insulin', 'Metformin', 'Sulfonylureas', 'DPP-4 inhibitors', 'GLP-1 receptor agonists']",Diabetes is a chronic condition that affects how the body processes blood sugar.
78,diabetes, fatigue, weight_loss, restlessness, lethargy,"['Insulin', 'Metformin', 'Sulfonylureas', 'DPP-4 inhibitors', 'GLP-1 receptor agonists']",Diabetes is a chronic condition that affects how the body processes blood sugar.
79,diabetes, fatigue, weight_loss, restlessness, lethargy,"['Insulin', 'Metformin', 'Sulfonylureas', 'DPP-4 inhibitors', 'GLP-1 receptor agonists']",Diabetes is a chronic condition that affects how the body processes blood sugar.
80,gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea,"['Antibiotics', 'Antiemetic drugs', 'Antidiarrheal drugs', 'IV fluids', 'Probiotics']","Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria."
81,gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea,"['Antibiotics', 'Antiemetic drugs', 'Antidiarrheal drugs', 'IV fluids', 'Probiotics']","Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria."
82,gastroenteritis, sunken_eyes, dehydration, diarrhoea,,"['Antibiotics', 'Antiemetic drugs', 'Antidiarrheal drugs', 'IV fluids', 'Probiotics']","Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria."
83,gastroenteritis, vomiting, dehydration, diarrhoea,,"['Antibiotics', 'Antiemetic drugs', 'Antidiarrheal drugs', 'IV fluids', 'Probiotics']","Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria."
84,gastroenteritis, vomiting, sunken_eyes, diarrhoea,,"['Antibiotics', 'Antiemetic drugs', 'Antidiarrheal drugs', 'IV fluids', 'Probiotics']","Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria."
85,gastroenteritis, vomiting, sunken_eyes, dehydration,,"['Antibiotics', 'Antiemetic drugs', 'Antidiarrheal drugs', 'IV fluids', 'Probiotics']","Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria."
86,gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea,"['Antibiotics', 'Antiemetic drugs', 'Antidiarrheal drugs', 'IV fluids', 'Probiotics']","Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria."
87,gastroenteritis, sunken_eyes, dehydration, diarrhoea,,"['Antibiotics', 'Antiemetic drugs', 'Antidiarrheal drugs', 'IV fluids', 'Probiotics']","Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria."
88,gastroenteritis, vomiting, dehydration, diarrhoea,,"['Antibiotics', 'Antiemetic drugs', 'Antidiarrheal drugs', 'IV fluids', 'Probiotics']","Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria."
89,gastroenteritis, vomiting, sunken_eyes, diarrhoea,,"['Antibiotics', 'Antiemetic drugs', 'Antidiarrheal drugs', 'IV fluids', 'Probiotics']","Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria."
90,bronchial asthma, fatigue, cough, high_fever, breathlessness,"['Bronchodilators', 'Inhaled corticosteroids', 'Leukotriene modifiers', 'Mast cell stabilizers', 'Anticholinergics']",Bronchial Asthma is a respiratory condition characterized by inflammation of the airways.
91,bronchial asthma, cough, high_fever, breathlessness, family_history,"['Bronchodilators', 'Inhaled corticosteroids', 'Leukotriene modifiers', 'Mast cell stabilizers', 'Anticholinergics']",Bronchial Asthma is a respiratory condition characterized by inflammation of the airways.
92,bronchial asthma, fatigue, high_fever, breathlessness, family_history,"['Bronchodilators', 'Inhaled corticosteroids', 'Leukotriene modifiers', 'Mast cell stabilizers', 'Anticholinergics']",Bronchial Asthma is a respiratory condition characterized by inflammation of the airways.
93,bronchial asthma, fatigue, cough, breathlessness, family_history,"['Bronchodilators', 'Inhaled corticosteroids', 'Leukotriene modifiers', 'Mast cell stabilizers', 'Anticholinergics']",Bronchial Asthma is a respiratory condition characterized by inflammation of the airways.
94,bronchial asthma, fatigue, cough, high_fever, family_history,"['Bronchodilators', 'Inhaled corticosteroids', 'Leukotriene modifiers', 'Mast cell stabilizers', 'Anticholinergics']",Bronchial Asthma is a respiratory condition characterized by inflammation of the airways.
95,bronchial asthma, fatigue, cough, high_fever, breathlessness,"['Bronchodilators', 'Inhaled corticosteroids', 'Leukotriene modifiers', 'Mast cell stabilizers', 'Anticholinergics']",Bronchial Asthma is a respiratory condition characterized by inflammation of the airways.
96,bronchial asthma, fatigue, cough, high_fever, breathlessness,"['Bronchodilators', 'Inhaled corticosteroids', 'Leukotriene modifiers', 'Mast cell stabilizers', 'Anticholinergics']",Bronchial Asthma is a respiratory condition characterized by inflammation of the airways.
97,bronchial asthma, fatigue, cough, high_fever, breathlessness,"['Bronchodilators', 'Inhaled corticosteroids', 'Leukotriene modifiers', 'Mast cell stabilizers', 'Anticholinergics']",Bronchial Asthma is a respiratory condition characterized by inflammation of the airways.
98,bronchial asthma, cough, high_fever, breathlessness, family_history,"['Bronchodilators', 'Inhaled corticosteroids', 'Leukotriene modifiers', 'Mast cell stabilizers', 'Anticholinergics']",Bronchial Asthma is a respiratory condition characterized by inflammation of the airways.
99,bronchial asthma, fatigue, high_fever, breathlessness, family_history,"['Bronchodilators', 'Inhaled corticosteroids', 'Leukotriene modifiers', 'Mast cell stabilizers', 'Anticholinergics']",Bronchial Asthma is a respiratory condition characterized by inflammation of the airways.
100,hypertension, headache, chest_pain, dizziness, loss_of_balance,"['Antihypertensive medications', 'Diuretics', 'Beta-blockers', 'ACE inhibitors', 'Calcium channel blockers']","Hypertension, or high blood pressure, is a common cardiovascular condition."
101,hypertension, chest_pain, dizziness, loss_of_balance, lack_of_concentration,"['Antihypertensive medications', 'Diuretics', 'Beta-blockers', 'ACE inhibitors', 'Calcium channel blockers']","Hypertension, or high blood pressure, is a common cardiovascular condition."
102,hypertension, headache, dizziness, loss_of_balance, lack_of_concentration,"['Antihypertensive medications', 'Diuretics', 'Beta-blockers', 'ACE inhibitors', 'Calcium channel blockers']","Hypertension, or high blood pressure, is a common cardiovascular condition."
103,hypertension, headache, chest_pain, loss_of_balance, lack_of_concentration,"['Antihypertensive medications', 'Diuretics', 'Beta-blockers', 'ACE inhibitors', 'Calcium channel blockers']","Hypertension, or high blood pressure, is a common cardiovascular condition."
104,hypertension, headache, chest_pain, dizziness, lack_of_concentration,"['Antihypertensive medications', 'Diuretics', 'Beta-blockers', 'ACE inhibitors', 'Calcium channel blockers']","Hypertension, or high blood pressure, is a common cardiovascular condition."
105,hypertension, headache, chest_pain, dizziness, loss_of_balance,"['Antihypertensive medications', 'Diuretics', 'Beta-blockers', 'ACE inhibitors', 'Calcium channel blockers']","Hypertension, or high blood pressure, is a common cardiovascular condition."
106,hypertension, headache, chest_pain, dizziness, loss_of_balance,"['Antihypertensive medications', 'Diuretics', 'Beta-blockers', 'ACE inhibitors', 'Calcium channel blockers']","Hypertension, or high blood pressure, is a common cardiovascular condition."
107,hypertension, chest_pain, dizziness, loss_of_balance, lack_of_concentration,"['Antihypertensive medications', 'Diuretics', 'Beta-blockers', 'ACE inhibitors', 'Calcium channel blockers']","Hypertension, or high blood pressure, is a common cardiovascular condition."
108,hypertension, headache, dizziness, loss_of_balance, lack_of_concentration,"['Antihypertensive medications', 'Diuretics', 'Beta-blockers', 'ACE inhibitors', 'Calcium channel blockers']","Hypertension, or high blood pressure, is a common cardiovascular condition."
109,hypertension, headache, chest_pain, loss_of_balance, lack_of_concentration,"['Antihypertensive medications', 'Diuretics', 'Beta-blockers', 'ACE inhibitors', 'Calcium channel blockers']","Hypertension, or high blood pressure, is a common cardiovascular condition."
110,migraine, acidity, indigestion, headache, blurred_and_distorted_vision,"['Analgesics', 'Triptans', 'Ergotamine derivatives', 'Preventive medications', 'Biofeedback']",Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.
111,migraine, indigestion, headache, blurred_and_distorted_vision, excessive_hunger,"['Analgesics', 'Triptans', 'Ergotamine derivatives', 'Preventive medications', 'Biofeedback']",Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.
112,migraine, acidity, headache, blurred_and_distorted_vision, excessive_hunger,"['Analgesics', 'Triptans', 'Ergotamine derivatives', 'Preventive medications', 'Biofeedback']",Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.
113,migraine, acidity, indigestion, blurred_and_distorted_vision, excessive_hunger,"['Analgesics', 'Triptans', 'Ergotamine derivatives', 'Preventive medications', 'Biofeedback']",Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.
114,migraine, acidity, indigestion, headache, excessive_hunger,"['Analgesics', 'Triptans', 'Ergotamine derivatives', 'Preventive medications', 'Biofeedback']",Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.
115,migraine, acidity, indigestion, headache, blurred_and_distorted_vision,"['Analgesics', 'Triptans', 'Ergotamine derivatives', 'Preventive medications', 'Biofeedback']",Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.
116,migraine, acidity, indigestion, headache, blurred_and_distorted_vision,"['Analgesics', 'Triptans', 'Ergotamine derivatives', 'Preventive medications', 'Biofeedback']",Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.
117,migraine, acidity, indigestion, headache, blurred_and_distorted_vision,"['Analgesics', 'Triptans', 'Ergotamine derivatives', 'Preventive medications', 'Biofeedback']",Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.
118,migraine, acidity, indigestion, headache, blurred_and_distorted_vision,"['Analgesics', 'Triptans', 'Ergotamine derivatives', 'Preventive medications', 'Biofeedback']",Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.
119,migraine, acidity, indigestion, headache, blurred_and_distorted_vision,"['Analgesics', 'Triptans', 'Ergotamine derivatives', 'Preventive medications', 'Biofeedback']",Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.
120,cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness,"['Pain relievers', 'Muscle relaxants', 'Physical therapy', 'Neck braces', 'Corticosteroids']",Cervical spondylosis is a degenerative condition of the cervical spine.
121,cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness,"['Pain relievers', 'Muscle relaxants', 'Physical therapy', 'Neck braces', 'Corticosteroids']",Cervical spondylosis is a degenerative condition of the cervical spine.
122,cervical spondylosis, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,"['Pain relievers', 'Muscle relaxants', 'Physical therapy', 'Neck braces', 'Corticosteroids']",Cervical spondylosis is a degenerative condition of the cervical spine.
123,cervical spondylosis, back_pain, neck_pain, dizziness, loss_of_balance,"['Pain relievers', 'Muscle relaxants', 'Physical therapy', 'Neck braces', 'Corticosteroids']",Cervical spondylosis is a degenerative condition of the cervical spine.
124,cervical spondylosis, back_pain, weakness_in_limbs, dizziness, loss_of_balance,"['Pain relievers', 'Muscle relaxants', 'Physical therapy', 'Neck braces', 'Corticosteroids']",Cervical spondylosis is a degenerative condition of the cervical spine.
125,cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, loss_of_balance,"['Pain relievers', 'Muscle relaxants', 'Physical therapy', 'Neck braces', 'Corticosteroids']",Cervical spondylosis is a degenerative condition of the cervical spine.
126,cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness,"['Pain relievers', 'Muscle relaxants', 'Physical therapy', 'Neck braces', 'Corticosteroids']",Cervical spondylosis is a degenerative condition of the cervical spine.
127,cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness,"['Pain relievers', 'Muscle relaxants', 'Physical therapy', 'Neck braces', 'Corticosteroids']",Cervical spondylosis is a degenerative condition of the cervical spine.
128,cervical spondylosis, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,"['Pain relievers', 'Muscle relaxants', 'Physical therapy', 'Neck braces', 'Corticosteroids']",Cervical spondylosis is a degenerative condition of the cervical spine.
129,cervical spondylosis, back_pain, neck_pain, dizziness, loss_of_balance,"['Pain relievers', 'Muscle relaxants', 'Physical therapy', 'Neck braces', 'Corticosteroids']",Cervical spondylosis is a degenerative condition of the cervical spine.
